customer_name,age,gender,platform,product_category,product_name,company,quantity,unit_price,gross_amount,discount_amount,netbill,payment_mode,rating_out_of_5
Priya Malhotra,45,Female,Amazon,Home & Kitchen,Cookware Set,Hawkins,3,4727,14181,1206.28,12974.72,Net Banking,4.4
Vivaan Patel,46,Male,Amazon,Fashion,Jeans,Levis,2,4718,9436,618.07,8817.93,Credit Card,3.4
Priya Malhotra,55,Female,Myntra,Fashion,Dress,Zara,2,6581,13162,1983.81,11178.19,Cash on Delivery,5.0
Priya Malhotra,58,Female,Flipkart,Beauty,Perfume,Fogg,4,2378,9512,982.78,8529.22,Net Banking,3.0
Sneha Rao,38,Female,Amazon,Home & Kitchen,Vacuum Cleaner,Eureka Forbes,3,6814,20442,5641.33,14800.67,Credit Card,4.3
Arjun Mehta,38,Male,Myntra,Fashion,T-Shirt,Puma,3,1239,3717,378.39,3338.61,Net Banking,3.8
Pooja Patil,48,Female,Amazon,Electronics,Smartphone,Samsung,2,19956,39912,2969.41,36942.59,Cash on Delivery,3.6
Ritu Agarwal,56,Female,Flipkart,Home & Kitchen,Air Fryer,Prestige,1,12393,12393,2380.02,10012.98,Credit Card,4.1
Ananya Iyer,20,Female,Amazon,Home & Kitchen,Air Fryer,Prestige,1,5137,5137,1022.99,4114.01,Net Banking,3.1
Sonal Jain,29,Female,Amazon,Fashion,Jeans,Levis,1,3462,3462,831.69,2630.31,Debit Card,4.6
Arjun Mehta,27,Male,Flipkart,Beauty,Face Cream,Nivea,3,1359,4077,518.44,3558.56,Cash on Delivery,3.9
Aditya Verma,23,Male,Myntra,Electronics,Headphones,Sony,4,5757,23028,5758.4,17269.6,Credit Card,4.8
Sneha Rao,34,Female,Amazon,Beauty,Perfume,Fogg,4,2398,9592,1722.02,7869.98,Credit Card,3.6
Sonal Jain,42,Female,Flipkart,Electronics,Headphones,Sony,4,14945,59780,15162.26,44617.74,Debit Card,3.1
Amit Singh,27,Male,Flipkart,Electronics,Bluetooth Speaker,JBL,3,10086,30258,3821.4,26436.6,UPI,3.7
Rahul Khanna,42,Male,Amazon,Beauty,Face Cream,Nivea,3,672,2016,224.7,1791.3,Cash on Delivery,4.5
Sai Kulkarni,46,Male,Amazon,Beauty,Face Cream,Nivea,3,1063,3189,722.98,2466.02,Credit Card,4.0
Aditya Verma,44,Male,Amazon,Beauty,Lipstick,Maybelline,2,620,1240,326.88,913.12,UPI,3.9
Kavya Nair,21,Female,Flipkart,Fashion,Jacket,H&M,4,5159,20636,2422.83,18213.17,Credit Card,3.5
Aarav Sharma,52,Male,Flipkart,Electronics,Bluetooth Speaker,JBL,2,11930,23860,4178.77,19681.23,Net Banking,3.7
Sai Kulkarni,22,Male,Amazon,Electronics,Smart Watch,Noise,4,14509,58036,16147.56,41888.44,Debit Card,3.5
Aarav Sharma,21,Male,Myntra,Fashion,T-Shirt,Puma,1,2487,2487,233.24,2253.76,Cash on Delivery,4.3
Priya Malhotra,30,Female,Amazon,Home & Kitchen,Mixer Grinder,Philips,4,7127,28508,1741.11,26766.89,Credit Card,3.3
Sneha Rao,51,Female,Amazon,Beauty,Face Cream,Nivea,2,1330,2660,261.55,2398.45,Credit Card,4.8
Rahul Khanna,19,Male,Myntra,Home & Kitchen,Air Fryer,Prestige,4,14528,58112,5163.42,52948.58,Debit Card,5.0
Nikhil Bansal,38,Male,Myntra,Beauty,Shampoo,Loreal,3,1272,3816,377.12,3438.88,Credit Card,3.2
Kavya Nair,23,Female,Flipkart,Electronics,Bluetooth Speaker,JBL,4,4556,18224,3111.72,15112.28,Net Banking,4.5
Sneha Rao,24,Female,Myntra,Fashion,Dress,Zara,3,2134,6402,750.19,5651.81,Debit Card,3.6
Shubham Mishra,20,Male,Flipkart,Electronics,Headphones,Sony,4,13718,54872,7011.75,47860.25,Net Banking,3.8
Shubham Mishra,40,Male,Flipkart,Home & Kitchen,Mixer Grinder,Philips,3,4766,14298,3195.49,11102.51,Credit Card,3.7
Sonal Jain,45,Female,Amazon,Electronics,Headphones,Sony,2,12262,24524,4894.95,19629.05,Net Banking,3.5
Sneha Rao,53,Female,Myntra,Fashion,T-Shirt,Puma,4,1403,5612,374.48,5237.52,Debit Card,3.9
Amit Singh,22,Male,Amazon,Home & Kitchen,Air Fryer,Prestige,3,13370,40110,9149.48,30960.52,Net Banking,4.8
Nikhil Bansal,41,Male,Flipkart,Electronics,Bluetooth Speaker,JBL,4,3664,14656,1411.96,13244.04,Net Banking,3.1
Rahul Khanna,37,Male,Flipkart,Home & Kitchen,Mixer Grinder,Philips,4,4958,19832,1145.5,18686.5,Credit Card,3.6
Rahul Khanna,41,Male,Flipkart,Beauty,Shampoo,Loreal,2,1070,2140,130.3,2009.7,Cash on Delivery,4.3
Arjun Mehta,23,Male,Flipkart,Electronics,Bluetooth Speaker,JBL,3,7894,23682,5158.48,18523.52,Cash on Delivery,4.1
Rohit Deshmukh,23,Male,Flipkart,Electronics,Smart Watch,Noise,4,2904,11616,1070.66,10545.34,Net Banking,3.1
Rahul Khanna,43,Male,Flipkart,Electronics,Laptop,Dell,4,62683,250732,58984.26,191747.74,UPI,4.6
Priya Malhotra,20,Female,Myntra,Home & Kitchen,Cookware Set,Hawkins,3,10444,31332,5047.93,26284.07,UPI,4.4
Aditya Verma,31,Male,Flipkart,Electronics,Smartphone,Samsung,3,13945,41835,4935.34,36899.66,Cash on Delivery,3.2
Rahul Khanna,25,Male,Flipkart,Home & Kitchen,Mixer Grinder,Philips,3,2599,7797,1268.02,6528.98,Debit Card,3.3
Vivaan Patel,28,Male,Flipkart,Electronics,Headphones,Sony,4,11776,47104,7139.37,39964.63,Cash on Delivery,4.8
Pooja Patil,49,Female,Amazon,Electronics,Smart Watch,Noise,3,13187,39561,5749.71,33811.29,Credit Card,4.1
Pooja Patil,47,Female,Myntra,Beauty,Perfume,Fogg,3,1289,3867,234.49,3632.51,Cash on Delivery,3.2
Rohit Deshmukh,45,Male,Amazon,Fashion,Dress,Zara,1,7110,7110,602.36,6507.64,UPI,3.9
Karan Kapoor,32,Male,Amazon,Home & Kitchen,Electric Kettle,Bajaj,2,2919,5838,1662.17,4175.83,Cash on Delivery,4.7
Sai Kulkarni,53,Male,Myntra,Fashion,T-Shirt,Puma,3,1446,4338,999.52,3338.48,Debit Card,5.0
Kavya Nair,48,Female,Flipkart,Beauty,Sunscreen,Neutrogena,3,2348,7044,523.46,6520.54,Net Banking,3.2
Aditya Verma,45,Male,Flipkart,Electronics,Smartphone,Samsung,1,35085,35085,3648.12,31436.88,Net Banking,3.2
Aditya Verma,24,Male,Myntra,Electronics,Smartphone,Samsung,3,43949,131847,16908.07,114938.93,UPI,4.8
Amit Singh,23,Male,Flipkart,Beauty,Lipstick,Maybelline,4,1995,7980,1434.62,6545.38,UPI,4.6
Aarav Sharma,43,Male,Amazon,Beauty,Lipstick,Maybelline,3,1889,5667,720.19,4946.81,Cash on Delivery,4.1
Kavya Nair,59,Female,Flipkart,Electronics,Bluetooth Speaker,JBL,4,2440,9760,2448.78,7311.22,Net Banking,3.8
Ananya Iyer,30,Female,Amazon,Fashion,Dress,Zara,2,3492,6984,761.74,6222.26,Credit Card,3.7
Rahul Khanna,18,Male,Flipkart,Fashion,Jacket,H&M,2,6167,12334,1464.12,10869.88,Debit Card,4.0
Aditya Verma,43,Male,Myntra,Electronics,Smartphone,Samsung,3,44388,133164,39412.03,93751.97,Cash on Delivery,3.7
Nikhil Bansal,50,Male,Myntra,Fashion,Dress,Zara,3,4561,13683,1338.79,12344.21,Net Banking,3.7
Neha Joshi,46,Female,Amazon,Home & Kitchen,Mixer Grinder,Philips,1,4142,4142,436.01,3705.99,Credit Card,3.2
Ananya Iyer,38,Female,Myntra,Beauty,Face Cream,Nivea,1,1044,1044,207.34,836.66,Credit Card,4.6
Shubham Mishra,41,Male,Flipkart,Home & Kitchen,Air Fryer,Prestige,2,12396,24792,3093.17,21698.83,Credit Card,3.9
Sai Kulkarni,26,Male,Myntra,Home & Kitchen,Cookware Set,Hawkins,3,9278,27834,4309.97,23524.03,Debit Card,3.5
Aditya Verma,57,Male,Flipkart,Fashion,Dress,Zara,2,6649,13298,2795.21,10502.79,Debit Card,4.3
Arjun Mehta,53,Male,Flipkart,Fashion,Jacket,H&M,2,5286,10572,1868.39,8703.61,Cash on Delivery,4.2
Amit Singh,23,Male,Myntra,Fashion,Sneakers,Nike,1,11632,11632,3220.6,8411.4,Net Banking,4.1
Sai Kulkarni,33,Male,Myntra,Electronics,Smart Watch,Noise,1,12777,12777,3131.59,9645.41,UPI,5.0
Ananya Iyer,20,Female,Amazon,Beauty,Perfume,Fogg,2,2129,4258,1098.37,3159.63,Debit Card,3.3
Rahul Khanna,23,Male,Myntra,Electronics,Bluetooth Speaker,JBL,3,5875,17625,3033.47,14591.53,Net Banking,4.1
Karan Kapoor,27,Male,Myntra,Home & Kitchen,Air Fryer,Prestige,1,12331,12331,2903.0,9428.0,Net Banking,3.5
Neha Joshi,33,Female,Flipkart,Fashion,T-Shirt,Puma,4,1484,5936,511.54,5424.46,Cash on Delivery,4.6
Sneha Rao,43,Female,Myntra,Beauty,Sunscreen,Neutrogena,1,754,754,40.5,713.5,UPI,3.2
Ritu Agarwal,41,Female,Amazon,Beauty,Shampoo,Loreal,2,577,1154,310.32,843.68,UPI,4.9
Aditya Verma,27,Male,Flipkart,Home & Kitchen,Cookware Set,Hawkins,4,8767,35068,9912.06,25155.94,Cash on Delivery,4.3
Vihaan Gupta,32,Male,Amazon,Beauty,Sunscreen,Neutrogena,2,1548,3096,532.93,2563.07,Debit Card,4.6
Priya Malhotra,33,Female,Myntra,Fashion,Dress,Zara,3,6715,20145,1268.77,18876.23,Debit Card,3.1
Priya Malhotra,48,Female,Amazon,Beauty,Lipstick,Maybelline,4,1543,6172,1157.04,5014.96,Cash on Delivery,3.1
Aditya Verma,21,Male,Amazon,Beauty,Shampoo,Loreal,4,1624,6496,1082.0,5414.0,Debit Card,3.8
Kavya Nair,31,Female,Flipkart,Home & Kitchen,Mixer Grinder,Philips,2,3073,6146,1625.64,4520.36,Credit Card,3.5
Ananya Iyer,28,Female,Myntra,Beauty,Lipstick,Maybelline,2,1357,2714,171.91,2542.09,Cash on Delivery,4.6
Vihaan Gupta,54,Male,Amazon,Fashion,Jeans,Levis,1,3054,3054,342.63,2711.37,Debit Card,4.6
Nikhil Bansal,18,Male,Flipkart,Beauty,Perfume,Fogg,4,1328,5312,1219.97,4092.03,Cash on Delivery,3.1
Pooja Patil,47,Female,Flipkart,Electronics,Laptop,Dell,1,40959,40959,4685.51,36273.49,Cash on Delivery,4.3
Vivaan Patel,31,Male,Amazon,Electronics,Headphones,Sony,4,6533,26132,3501.55,22630.45,UPI,4.3
Sneha Rao,33,Female,Amazon,Electronics,Headphones,Sony,2,14060,28120,6930.67,21189.33,UPI,4.5
Amit Singh,42,Male,Myntra,Electronics,Smart Watch,Noise,2,13558,27116,3438.91,23677.09,Debit Card,5.0
